ticker,quarter,report_period,fiscal_period,period,currency,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted
AMZN,2025Q3,2025-09-30,2025-Q3,quarterly,USD,727921000000.0,196866000000.0,66922000000.0,41494000000.0,27275000000.0,,210960000000.0,,23260000000.0,28375000000.0,1100000000.0,10690216011.0,,362390000000.0,195196000000.0,5665000000.0,106032000000.0,21113000000.0,24600000000.0,167194000000.0,61059000000.0,,369631000000.0,229344000000.0,12333000000.0,66724000000.0,21187000000.0,16796000000.0,4847000000.0,35525000000.0,-35095000000.0,786000000.0,-7641000000.0,-26073000000.0,-1359000000.0,,,-44000000.0,9011000000.0,-397000000.0,66922000000.0,430000000.0,21187000000.0,180169000000.0,88670000000.0,91499000000.0,17174000000.0,14561000000.0,,17422000000.0,538000000.0,28635000000.0,6910000000.0,,,21187000000.0,0.0,21187000000.0,1.98,1.95,,10674000000.0,10845000000.0
AMZN,2025Q4,2025-12-31,2025-Q4,quarterly,USD,818042000000.0,229083000000.0,86810000000.0,38325000000.0,36219000000.0,67729000000.0,588959000000.0,443079000000.0,23273000000.0,36219000000.0,0.0,10690216011.0,0.0,406977000000.0,218005000000.0,4747000000.0,121909000000.0,20576000000.0,0.0,188972000000.0,76390000000.0,0.0,411065000000.0,250536000000.0,28230000000.0,81137000000.0,21192000000.0,19471000000.0,4397000000.0,54459000000.0,-39522000000.0,-1403000000.0,-7373000000.0,-47245000000.0,12291000000.0,0.0,0.0,12291000000.0,19642000000.0,137000000.0,86810000000.0,14937000000.0,15990000000.0,213386000000.0,109959000000.0,103427000000.0,78450000000.0,16968000000.0,29399000000.0,24977000000.0,679000000.0,26817000000.0,4946000000.0,0.0,0.0,21192000000.0,0.0,21192000000.0,1.98,1.95,0.0,10710000000.0,10863000000.0
AMZN,2026Q1,2026-03-31,2026-Q1,quarterly,USD,916630000000.0,255155000000.0,101816000000.0,36534000000.0,41273000000.0,,267486000000.0,,23449000000.0,42196000000.0,923000000.0,10757109436.0,,479116000000.0,216756000000.0,4562000000.0,124749000000.0,20887000000.0,25000000000.0,262360000000.0,130821000000.0,,441914000000.0,280791000000.0,24868000000.0,135383000000.0,30255000000.0,18945000000.0,4032000000.0,26032000000.0,-44203000000.0,15408000000.0,13570000000.0,-64212000000.0,52973000000.0,,,52767000000.0,14586000000.0,-1000000.0,101816000000.0,-18171000000.0,,181519000000.0,87463000000.0,94056000000.0,13634000000.0,12901000000.0,,23852000000.0,800000000.0,40615000000.0,9560000000.0,,,30255000000.0,0.0,30255000000.0,2.82,2.78,,10743000000.0,10874000000.0
GOOGL,2023Q1,2023-03-31,2023-Q1,quarterly,USD,369491000000.0,161985000000.0,25924000000.0,2315000000.0,94320000000.0,,92466000000.0,,30962000000.0,128053000000.0,33733000000.0,12697000000.0,6885000000.0,108597000000.0,68854000000.0,1371000000.0,4184000000.0,3715000000.0,4500000000.0,39743000000.0,0.0,542000000.0,260894000000.0,196625000000.0,-6000000000.0,1371000000.0,15051000000.0,,5284000000.0,23509000000.0,-6289000000.0,,-3510000000.0,-2946000000.0,,-14557000000.0,,-16568000000.0,4045000000.0,50000000.0,,17220000000.0,,69787000000.0,30612000000.0,39175000000.0,24318000000.0,10292000000.0,11468000000.0,17415000000.0,,18205000000.0,3154000000.0,,,15051000000.0,0.0,15051000000.0,1.18,1.17,,12781000000.0,13706000000.0
GOOGL,2023Q2,2023-06-30,2023-Q2,quarterly,USD,383044000000.0,168788000000.0,25929000000.0,2231000000.0,97698000000.0,,95440000000.0,,31176000000.0,131314000000.0,33616000000.0,12609000000.0,9357000000.0,115903000000.0,77709000000.0,1317000000.0,5313000000.0,3846000000.0,4500000000.0,38194000000.0,0.0,558000000.0,267141000000.0,200884000000.0,-5991000000.0,1317000000.0,18368000000.0,,5774000000.0,28666000000.0,-6888000000.0,,3382000000.0,-10800000000.0,,-14969000000.0,,-17835000000.0,5000000.0,-26000000.0,,21778000000.0,,74604000000.0,31916000000.0,42688000000.0,20920000000.0,10262000000.0,10588000000.0,21838000000.0,,21903000000.0,3535000000.0,,,18368000000.0,0.0,18368000000.0,1.45,1.44,,12668000000.0,13643000000.0
GOOGL,2023Q3,2023-09-30,2023-Q3,quarterly,USD,396711000000.0,176310000000.0,30702000000.0,2957000000.0,94206000000.0,,97154000000.0,,30979000000.0,127571000000.0,33365000000.0,12516000000.0,10983000000.0,123509000000.0,86295000000.0,1400000000.0,5803000000.0,4303000000.0,4500000000.0,37214000000.0,0.0,528000000.0,273202000000.0,205647000000.0,-7036000000.0,1400000000.0,19689000000.0,,5743000000.0,30656000000.0,-8055000000.0,,-1659000000.0,-7150000000.0,,-15787000000.0,,-18382000000.0,4773000000.0,-351000000.0,,22601000000.0,,76693000000.0,33229000000.0,43464000000.0,22223000000.0,10863000000.0,11258000000.0,21343000000.0,,21197000000.0,1508000000.0,,,19689000000.0,0.0,19689000000.0,1.56,1.55,,12581000000.0,13571000000.0
GOOGL,2023Q4,2023-12-31,2023-Q4,quarterly,USD,402392000000.0,171530000000.0,24048000000.0,0.0,86868000000.0,47964000000.0,230862000000.0,148436000000.0,29198000000.0,117876000000.0,31008000000.0,12516000000.0,12169000000.0,119013000000.0,81814000000.0,1363000000.0,7493000000.0,13013000000.0,0.0,37199000000.0,0.0,8474000000.0,283379000000.0,211247000000.0,-4402000000.0,1363000000.0,20687000000.0,3316000000.0,5659000000.0,18915000000.0,-11019000000.0,-29000000.0,4947000000.0,-6167000000.0,-437000000.0,-18871000000.0,0.0,-19308000000.0,-6654000000.0,-94000000.0,24048000000.0,7896000000.0,7896000000.0,86310000000.0,37575000000.0,48735000000.0,25038000000.0,12925000000.0,12113000000.0,23697000000.0,69000000.0,24481000000.0,3725000000.0,0.0,0.0,20687000000.0,0.0,20687000000.0,1.65,1.64,0.0,12516000000.0,
GOOGL,2024Q1,2024-03-31,2024-Q1,quarterly,USD,407350000000.0,165471000000.0,24493000000.0,,89250000000.0,,245279000000.0,143182000000.0,29183000000.0,126644000000.0,37394000000.0,12358000000.0,11687000000.0,114506000000.0,76997000000.0,317000000.0,6198000000.0,3973000000.0,5000000000.0,37509000000.0,0.0,486000000.0,292844000000.0,219770000000.0,-4839000000.0,317000000.0,23662000000.0,3413000000.0,5264000000.0,28848000000.0,-12012000000.0,,-3408000000.0,-8564000000.0,,-15696000000.0,,-19714000000.0,445000000.0,-125000000.0,,16836000000.0,,80539000000.0,33712000000.0,46827000000.0,21355000000.0,9452000000.0,11903000000.0,25472000000.0,,28315000000.0,4653000000.0,,,23662000000.0,0.0,23662000000.0,1.91,1.89,,12415000000.0,13396000000.0
GOOGL,2024Q2,2024-06-30,2024-Q2,quarterly,USD,414770000000.0,161995000000.0,27225000000.0,,78735000000.0,,255151000000.0,151155000000.0,29185000000.0,115283000000.0,36548000000.0,12310000000.0,14958000000.0,114017000000.0,77913000000.0,918000000.0,6092000000.0,4251000000.0,5000000000.0,36104000000.0,0.0,717000000.0,300753000000.0,226033000000.0,-5012000000.0,918000000.0,23619000000.0,3708000000.0,5865000000.0,26640000000.0,-13186000000.0,,-10564000000.0,-2781000000.0,,-15684000000.0,2466000000.0,-20889000000.0,2732000000.0,-238000000.0,,13454000000.0,,84742000000.0,35507000000.0,49235000000.0,21810000000.0,9950000000.0,11860000000.0,27425000000.0,67000000.0,27618000000.0,3932000000.0,,,23619000000.0,0.0,23619000000.0,1.91,1.89,0.2,12343000000.0,12495000000.0
GOOGL,2024Q3,2024-09-30,2024-Q3,quarterly,USD,430266000000.0,157541000000.0,19959000000.0,,78748000000.0,,274978000000.0,161270000000.0,31935000000.0,117178000000.0,38430000000.0,12241000000.0,15915000000.0,116147000000.0,80803000000.0,2367000000.0,7049000000.0,4896000000.0,5000000000.0,35344000000.0,0.0,706000000.0,314119000000.0,235317000000.0,-3228000000.0,2367000000.0,26301000000.0,3985000000.0,5846000000.0,30698000000.0,-13061000000.0,,-271000000.0,-18011000000.0,,-15291000000.0,2455000000.0,-20094000000.0,-7266000000.0,141000000.0,,17637000000.0,,88268000000.0,36474000000.0,51794000000.0,23273000000.0,10826000000.0,12447000000.0,28521000000.0,54000000.0,31760000000.0,5405000000.0,,,26301000000.0,0.0,26301000000.0,2.14,2.12,0.2,12290000000.0,12419000000.0
GOOGL,2024Q4,2024-12-31,2024-Q4,quarterly,USD,450256000000.0,163711000000.0,23466000000.0,0.0,72191000000.0,52340000000.0,286545000000.0,184624000000.0,31885000000.0,110173000000.0,37982000000.0,12241000000.0,17180000000.0,125172000000.0,89122000000.0,1234000000.0,7987000000.0,14838000000.0,0.0,36050000000.0,12325000000.0,8782000000.0,325084000000.0,245084000000.0,-4800000000.0,13559000000.0,26536000000.0,4205000000.0,5810000000.0,39113000000.0,-14276000000.0,-91000000.0,-1646000000.0,-16180000000.0,1145000000.0,-18600000000.0,-2442000000.0,-19036000000.0,3507000000.0,-390000000.0,23466000000.0,24837000000.0,24837000000.0,96469000000.0,40613000000.0,55856000000.0,24884000000.0,11768000000.0,13116000000.0,30972000000.0,53000000.0,32296000000.0,5707000000.0,0.0,0.0,26536000000.0,0.0,26536000000.0,2.17,2.14,0.2,12241000000.0,
GOOGL,2025Q1,2025-03-31,2025-Q1,quarterly,USD,475374000000.0,162052000000.0,23264000000.0,,77238000000.0,,318792000000.0,185062000000.0,32173000000.0,130643000000.0,53405000000.0,12135000000.0,18386000000.0,130107000000.0,91654000000.0,1100000000.0,8497000000.0,4908000000.0,6600000000.0,38453000000.0,12847000000.0,,345267000000.0,262628000000.0,-4086000000.0,13947000000.0,34540000000.0,4583000000.0,5516000000.0,36150000000.0,-17197000000.0,,-1193000000.0,-16194000000.0,-192000000.0,-15068000000.0,2434000000.0,-20201000000.0,-202000000.0,43000000.0,,18953000000.0,,90234000000.0,36361000000.0,53873000000.0,23363000000.0,9711000000.0,13556000000.0,30606000000.0,34000000.0,41823000000.0,7249000000.0,,,34540000000.0,0.0,34540000000.0,2.84,2.81,0.2,12183000000.0,12291000000.0
GOOGL,2025Q2,2025-06-30,2025-Q2,quarterly,USD,502053000000.0,166216000000.0,21036000000.0,,80087000000.0,,138373000000.0,,32335000000.0,135227000000.0,55140000000.0,12094000000.0,19289000000.0,139137000000.0,87310000000.0,1100000000.0,8347000000.0,4969000000.0,6800000000.0,53829000000.0,25609000000.0,,362916000000.0,275760000000.0,-2127000000.0,26709000000.0,28196000000.0,5014000000.0,5998000000.0,27747000000.0,-22446000000.0,,1572000000.0,-24544000000.0,82000000.0,-13638000000.0,2543000000.0,-5832000000.0,-2228000000.0,401000000.0,,5301000000.0,,96428000000.0,39039000000.0,57389000000.0,26230000000.0,12310000000.0,13808000000.0,31271000000.0,261000000.0,34194000000.0,5737000000.0,,,28196000000.0,0.0,28196000000.0,2.33,2.31,0.21,12122000000.0,12198000000.0
GOOGL,2025Q3,2025-09-30,2025-Q3,quarterly,USD,536469000000.0,173947000000.0,23090000000.0,,82499000000.0,,144878000000.0,,33269000000.0,148865000000.0,66366000000.0,12067000000.0,10331000000.0,149602000000.0,99550000000.0,2333000000.0,10546000000.0,5542000000.0,7400000000.0,52102000000.0,23657000000.0,,386867000000.0,297226000000.0,-2054000000.0,25990000000.0,34979000000.0,5651000000.0,6368000000.0,48414000000.0,-23953000000.0,,1270000000.0,-27777000000.0,18000000.0,-11504000000.0,2536000000.0,-18383000000.0,2054000000.0,-200000000.0,,24461000000.0,,102346000000.0,41369000000.0,60977000000.0,29901000000.0,14598000000.0,15151000000.0,31228000000.0,143000000.0,44130000000.0,9008000000.0,,,34979000000.0,0.0,34979000000.0,2.89,2.87,0.21,12086000000.0,12203000000.0
GOOGL,2025Q4,2025-12-31,2025-Q4,quarterly,USD,595281000000.0,206038000000.0,30708000000.0,0.0,96135000000.0,62886000000.0,389243000000.0,261818000000.0,33380000000.0,164822000000.0,68687000000.0,12067000000.0,9113000000.0,180016000000.0,102745000000.0,2437000000.0,12200000000.0,17442000000.0,0.0,77271000000.0,48606000000.0,9531000000.0,415265000000.0,324055000000.0,-1916000000.0,51043000000.0,34455000000.0,6040000000.0,7071000000.0,52402000000.0,-27851000000.0,-167000000.0,-23233000000.0,-51776000000.0,20229000000.0,-10665000000.0,-2536000000.0,7028000000.0,7618000000.0,-36000000.0,30708000000.0,24551000000.0,24551000000.0,113829000000.0,45767000000.0,68062000000.0,32128000000.0,13556000000.0,18572000000.0,35934000000.0,298000000.0,39415000000.0,4662000000.0,0.0,0.0,34455000000.0,0.0,34455000000.0,2.85,2.82,0.21,12067000000.0,
GOOGL,2026Q1,2026-03-31,2026-Q1,quarterly,USD,703919000000.0,213753000000.0,38063000000.0,0.0,88777000000.0,62999000000.0,490166000000.0,296529000000.0,67218000000.0,195723000000.0,106946000000.0,12097000000.0,1995000000.0,225173000000.0,111188000000.0,2175000000.0,16852000000.0,17370000000.0,0.0,113985000000.0,79538000000.0,12457000000.0,478746000000.0,384024000000.0,-2180000000.0,81713000000.0,62578000000.0,6482000000.0,6751000000.0,45790000000.0,-35674000000.0,-33621000000.0,6902000000.0,-63389000000.0,29902000000.0,-5483000000.0,-2542000000.0,25077000000.0,7355000000.0,-123000000.0,38063000000.0,10116000000.0,10116000000.0,109896000000.0,41271000000.0,68625000000.0,28929000000.0,11897000000.0,17032000000.0,39696000000.0,0.0,77412000000.0,14834000000.0,0.0,0.0,62578000000.0,0.0,62578000000.0,5.17,5.11,0.21,12097000000.0,
META,2023Q1,2023-03-31,2023-Q1,quarterly,USD,184491000000.0,52483000000.0,11551000000.0,,25913000000.0,,41703000000.0,,21598000000.0,25931000000.0,18000000.0,2212153203.0,,59696000000.0,25381000000.0,114000000.0,4557000000.0,460000000.0,492000000.0,41834000000.0,10498000000.0,,124795000000.0,61241000000.0,-2981000000.0,10612000000.0,5709000000.0,2524000000.0,3051000000.0,13998000000.0,-6842000000.0,,-449000000.0,-6743000000.0,-264000000.0,-9365000000.0,,-10516000000.0,-3176000000.0,85000000.0,11551000000.0,7156000000.0,-1133000000.0,28645000000.0,6108000000.0,22537000000.0,16231000000.0,5929000000.0,9381000000.0,7227000000.0,54000000.0,7361000000.0,1598000000.0,,,5709000000.0,0.0,5709000000.0,2.21,2.2,,2587000000.0,2596000000.0
META,2023Q2,2023-06-30,2023-Q2,quarterly,USD,206688000000.0,69560000000.0,28785000000.0,,24686000000.0,,43030000000.0,,21515000000.0,24745000000.0,59000000.0,2222582542.0,,72655000000.0,29921000000.0,181000000.0,3865000000.0,494000000.0,520000000.0,49883000000.0,18961000000.0,,134033000000.0,67980000000.0,-3106000000.0,19142000000.0,7788000000.0,2623000000.0,4060000000.0,17309000000.0,-6216000000.0,,-1099000000.0,-5203000000.0,8235000000.0,-898000000.0,,5292000000.0,17384000000.0,-14000000.0,28785000000.0,11093000000.0,-5270000000.0,31999000000.0,5945000000.0,26054000000.0,17789000000.0,7318000000.0,9344000000.0,9392000000.0,115000000.0,9408000000.0,1505000000.0,,,7788000000.0,0.0,7788000000.0,3.03,2.98,,2568000000.0,2612000000.0
META,2023Q3,2023-09-30,2023-Q3,quarterly,USD,216274000000.0,78378000000.0,36890000000.0,,24258000000.0,,40041000000.0,,21481000000.0,24317000000.0,59000000.0,2219607026.0,,73401000000.0,30531000000.0,85000000.0,5142000000.0,509000000.0,526000000.0,50276000000.0,18957000000.0,,142873000000.0,75205000000.0,-3556000000.0,19042000000.0,11583000000.0,2859000000.0,3492000000.0,20402000000.0,-6543000000.0,,-467000000.0,-6077000000.0,-267000000.0,-3569000000.0,,-5875000000.0,8096000000.0,-354000000.0,36890000000.0,13859000000.0,-8018000000.0,34146000000.0,6210000000.0,27936000000.0,15642000000.0,4947000000.0,9241000000.0,13748000000.0,137000000.0,14157000000.0,2437000000.0,,,11583000000.0,0.0,11583000000.0,4.5,4.39,,2576000000.0,2641000000.0
META,2023Q4,2023-12-31,2023-Q4,quarterly,USD,229623000000.0,85365000000.0,41862000000.0,0.0,23541000000.0,16169000000.0,144258000000.0,109881000000.0,20654000000.0,29682000000.0,6141000000.0,2569862732.0,0.0,76455000000.0,31960000000.0,90000000.0,4849000000.0,0.0,0.0,44495000000.0,18985000000.0,7514000000.0,153168000000.0,82070000000.0,-2155000000.0,19075000000.0,14017000000.0,3172000000.0,3424000000.0,19404000000.0,-7665000000.0,-64000000.0,1186000000.0,-6472000000.0,-307000000.0,-5942000000.0,0.0,-8401000000.0,4927000000.0,396000000.0,41862000000.0,11739000000.0,11812000000.0,40111000000.0,7695000000.0,32416000000.0,16032000000.0,5515000000.0,10517000000.0,16384000000.0,0.0,16807000000.0,2790000000.0,0.0,0.0,14017000000.0,0.0,14017000000.0,5.46,5.31,0.0,2565000000.0,2647000000.0
